id;source_id;name;industry;email;phone;website;country;city;address;siret;size_label;created_at;updated_at;sigle;contact_nom;contact_tel;contact_email;admin_nom;admin_contact;admin_email
1bcc51d3-4185-42f0-8e0e-7d35ce2257f3;df6d2c82-f638-461a-a140-eedcb1eacd46;CAMEROON MARKETING COMMODITIES;ACHAT EXPORT CACAO CAFE;;3354126;;;KUMBA;MBONGE ROND;;;Sun Dec 07 2025 12:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 12:17:49 GMT-0500 (UTC−05:00);CAMACO;;;;;;
3f1cda7f-60cc-429a-aedb-686cd894fe99;df6d2c82-f638-461a-a140-eedcb1eacd46;CAMEROUN POSTAL SERVICES;ACTIVITE POSTALE;;22223613;;;YAOUNDE;IMMEUBLE AMACAM;;;Sun Dec 07 2025 12:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 12:17:49 GMT-0500 (UTC−05:00);CAMPOST;;;;;;
43d84dbb-937b-48dc-9510-5eb46c94ef4a;df6d2c82-f638-461a-a140-eedcb1eacd46;ASSURANCES  ET REASSURANCES AFRICAINES;ACTIVITES D'ASSURANCES (SAUF SECURITE SO;;33438197/33438232;;;DOUALA;BONAKOUAMOUANG;;;Sun Dec 07 2025 12:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 12:17:49 GMT-0500 (UTC−05:00);AREA ASSURANCES;;;;;;
3d7e9adb-e8d5-4d5d-bc19-ef04198641f8;df6d2c82-f638-461a-a140-eedcb1eacd46;SAHAM  ALL LIFE INSURANCE;ACTIVITES D'ASSURANCES (SAUF SECURITE SO;;3431144;;;DOUALA;FACE SOCAR;;;Sun Dec 07 2025 12:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 12:17:49 GMT-0500 (UTC−05:00);SAHAM ALL LIFE;;;;;;
b48b4e36-0666-4c7b-880c-35553333bb31;df6d2c82-f638-461a-a140-eedcb1eacd46;SUNU ASSURANCES VIE;ACTIVITES D'ASSURANCES (SAUF SECURITE SO;;3423159;;;DOUALA;RUE IMMEUBLE CHAMPAGNE PLAZZA;;;Sun Dec 07 2025 12:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 12:17:49 GMT-0500 (UTC−05:00);SUNU ASSURANCES VIE;;;;;;
6d2fda55-a49d-4c0d-bd97-cc0cfc3ee349;df6d2c82-f638-461a-a140-eedcb1eacd46;COMPAGNIE D'OPERATIONS PETROLIERE SCHLUMBERGER;ACTIVITES DE SERVICES AUX ENTREPRISES;;340 33 43;;;DOUALA;CIC Deido;;;Sun Dec 07 2025 12:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 12:17:49 GMT-0500 (UTC−05:00);COPS- SCHLUMBERGER;;;;;;
187d49bc-5650-4a04-9577-6abfd634c6bb;df6d2c82-f638-461a-a140-eedcb1eacd46;GROUPE 4 SOCURICOR;ACTIVITES DE SERVICES AUX ENTREPRISES;;677711169;;;DOUALA;;;;Sun Dec 07 2025 12:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 12:17:49 GMT-0500 (UTC−05:00);G4S CAMEROUN;;;;;;
fcd6956a-a3fb-47e2-8011-dbb5230049cd;df6d2c82-f638-461a-a140-eedcb1eacd46;EDC INVESTMENT CORPORATION;ACTIVITES FINANCIERES;;233431360;;;ND;IMM ACTIVA ETAGE 2;;;Sun Dec 07 2025 12:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 12:17:49 GMT-0500 (UTC−05:00);EDC;;;;;;
08d3221b-6988-42b8-83d4-ce99b04a63f1;df6d2c82-f638-461a-a140-eedcb1eacd46;CAMEROON DEVELOPMENT CORPORATION;AGRO INDUSTRIE;;33431883/33332251;;;DOUALA;BOTA;;;Sun Dec 07 2025 12:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 12:17:49 GMT-0500 (UTC−05:00);CDC;;;;;;
6915b82f-e11f-467c-bb29-8130ec3f17f3;df6d2c82-f638-461a-a140-eedcb1eacd46;HEVEA DU CAMEROUN;AGRO INDUSTRIE;;3461919;;;KRIBI;BOULEVARD DU GENERAL LECLERC;;;Sun Dec 07 2025 12:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 12:17:49 GMT-0500 (UTC−05:00);HEVECAM;;;;;;
