id;nom;code_pays;code_appel;devise;langue_principale;fuseau_horaire;capitale;population;superficie;pib;description;actif;created_at;updated_at
31562fc2-f877-4c42-b6f4-0998dab71085;France;FRA;+33;EUR;Français;Europe/Paris;Paris;;;;;true;Sun Dec 07 2025 12:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 12:17:49 GMT-0500 (UTC−05:00)
2ae4ca97-bf5e-47da-ac90-987a400ccb55;Sénégal;SEN;+221;XOF;Français;Africa/Dakar;Dakar;;;;;true;Sun Dec 07 2025 12:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 12:17:49 GMT-0500 (UTC−05:00)
487783bf-191a-40ad-bacf-382b05906d56;Cameroun;CMR;+237;XAF;Français;Africa/Douala;Yaoundé;;;;;true;Sun Dec 07 2025 12:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 12:17:49 GMT-0500 (UTC−05:00)
81f495f7-620d-48ff-afee-78710f5e37c2;Côte d'Ivoire;CIV;+225;XOF;Français;Africa/Abidjan;Yamoussoukro;;;;;true;Sun Dec 07 2025 12:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 12:17:49 GMT-0500 (UTC−05:00)
670e9b33-38e5-48c4-9b51-e3147d65d13e;Mali;MLI;+223;XOF;Français;Africa/Bamako;Bamako;;;;;true;Sun Dec 07 2025 12:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 12:17:49 GMT-0500 (UTC−05:00)
733dd55f-0aaf-4518-b552-f90ed45c0061;Burkina Faso;BFA;+226;XOF;Français;Africa/Ouagadougou;Ouagadougou;;;;;true;Sun Dec 07 2025 12:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 12:17:49 GMT-0500 (UTC−05:00)
e6f9516c-8b24-4bb6-a6e3-4495eaecae61;Niger;NER;+227;XOF;Français;Africa/Niamey;Niamey;;;;;true;Sun Dec 07 2025 12:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 12:17:49 GMT-0500 (UTC−05:00)
23753b11-daaf-47e5-931b-a7042fd6e6b7;Tchad;TCD;+235;XAF;Français;Africa/Ndjamena;N'Djamena;;;;;true;Sun Dec 07 2025 12:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 12:17:49 GMT-0500 (UTC−05:00)
985994a0-f12f-4147-99ee-fb3cf6376b0d;Guinée;GIN;+224;GNF;Français;Africa/Conakry;Conakry;;;;;true;Sun Dec 07 2025 12:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 12:17:49 GMT-0500 (UTC−05:00)
5a91cfc9-5d46-4e1a-a912-089a8d5a3299;Bénin;BEN;+229;XOF;Français;Africa/Porto-Novo;Porto-Novo;;;;;true;Sun Dec 07 2025 12:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 12:17:49 GMT-0500 (UTC−05:00)
