id;opportunity_id;stage_id;action_type;description;performed_by;performed_at;metadata;is_validating;created_at
5c915dd0-0ce5-401c-8e67-46a399d19747;f4352a8f-2b4e-4871-aa9f-af71aa699015;1767f540-2522-49e0-97a8-fe474e59b8d3;Créer la fiche opportunité;effetué le 12/30/2025;02ce1bf8-ac3d-40c9-ad98-ddd682dddd53;Mon Dec 08 2025 21:09:33 GMT-0500 (UTC−05:00);[object Object];true;Mon Dec 08 2025 21:09:33 GMT-0500 (UTC−05:00)
6d0d96aa-3d60-409d-be63-be2e48a4ee29;f4352a8f-2b4e-4871-aa9f-af71aa699015;1767f540-2522-49e0-97a8-fe474e59b8d3;Qualifier rapidement l'intérêt;action double ;02ce1bf8-ac3d-40c9-ad98-ddd682dddd53;Mon Dec 08 2025 21:13:34 GMT-0500 (UTC−05:00);[object Object];true;Mon Dec 08 2025 21:13:34 GMT-0500 (UTC−05:00)
a195dc8f-43a2-45ca-a038-99e78d3acbf6;f4352a8f-2b4e-4871-aa9f-af71aa699015;1767f540-2522-49e0-97a8-fe474e59b8d3;presentation_equipe;en attente toujours ;02ce1bf8-ac3d-40c9-ad98-ddd682dddd53;Mon Dec 08 2025 21:13:56 GMT-0500 (UTC−05:00);[object Object];true;Mon Dec 08 2025 21:13:56 GMT-0500 (UTC−05:00)
c00755cb-fc07-4139-a384-3010b2d65fd6;f4352a8f-2b4e-4871-aa9f-af71aa699015;1767f540-2522-49e0-97a8-fe474e59b8d3;rdv_realise;dat rendez-vous le 12/15/2025;02ce1bf8-ac3d-40c9-ad98-ddd682dddd53;Mon Dec 08 2025 21:14:18 GMT-0500 (UTC−05:00);[object Object];true;Mon Dec 08 2025 21:14:18 GMT-0500 (UTC−05:00)
d9ef4290-d148-4647-b9dc-8d6941d5ddbb;f4352a8f-2b4e-4871-aa9f-af71aa699015;0f96f11a-2638-4ffd-ae89-a45e30cec00b;Valider BANT;fgf;02ce1bf8-ac3d-40c9-ad98-ddd682dddd53;Mon Dec 08 2025 21:21:29 GMT-0500 (UTC−05:00);[object Object];true;Mon Dec 08 2025 21:21:29 GMT-0500 (UTC−05:00)
55d0003c-b0be-497f-879a-6628cde76d38;f4352a8f-2b4e-4871-aa9f-af71aa699015;0f96f11a-2638-4ffd-ae89-a45e30cec00b;Identifier décideurs;dfgfdg;02ce1bf8-ac3d-40c9-ad98-ddd682dddd53;Mon Dec 08 2025 21:21:32 GMT-0500 (UTC−05:00);[object Object];true;Mon Dec 08 2025 21:21:32 GMT-0500 (UTC−05:00)
2b5189b8-aeda-4b48-a8b5-ea98917a2cdf;f4352a8f-2b4e-4871-aa9f-af71aa699015;0f96f11a-2638-4ffd-ae89-a45e30cec00b;Estimer budget;dfgdfgdf;02ce1bf8-ac3d-40c9-ad98-ddd682dddd53;Mon Dec 08 2025 21:21:35 GMT-0500 (UTC−05:00);[object Object];true;Mon Dec 08 2025 21:21:35 GMT-0500 (UTC−05:00)
a50e3b8f-b5a0-4f15-9255-0829c835443f;f4352a8f-2b4e-4871-aa9f-af71aa699015;096fc33f-2aa8-4a16-8b77-bedf288fe509;Rédaction offre;cvbcv;02ce1bf8-ac3d-40c9-ad98-ddd682dddd53;Mon Dec 08 2025 21:23:51 GMT-0500 (UTC−05:00);[object Object];true;Mon Dec 08 2025 21:23:51 GMT-0500 (UTC−05:00)
6d8b5f42-2db1-4f34-b8de-4cb9761fc203;f4352a8f-2b4e-4871-aa9f-af71aa699015;096fc33f-2aa8-4a16-8b77-bedf288fe509;Validation interne;cbvvcb;02ce1bf8-ac3d-40c9-ad98-ddd682dddd53;Mon Dec 08 2025 21:23:53 GMT-0500 (UTC−05:00);[object Object];true;Mon Dec 08 2025 21:23:53 GMT-0500 (UTC−05:00)
8d9c39c5-b8fb-4f7c-800c-f2e47495b788;f4352a8f-2b4e-4871-aa9f-af71aa699015;096fc33f-2aa8-4a16-8b77-bedf288fe509;Envoi au client;cvbcvb;02ce1bf8-ac3d-40c9-ad98-ddd682dddd53;Mon Dec 08 2025 21:23:55 GMT-0500 (UTC−05:00);[object Object];true;Mon Dec 08 2025 21:23:55 GMT-0500 (UTC−05:00)
fa7f531d-fad7-4e5a-9496-528c17bf67be;f4352a8f-2b4e-4871-aa9f-af71aa699015;2b258e6c-27d0-4a1f-a08a-46279f5bd083;Négociation;hjkhjk;02ce1bf8-ac3d-40c9-ad98-ddd682dddd53;Mon Dec 08 2025 21:24:43 GMT-0500 (UTC−05:00);[object Object];true;Mon Dec 08 2025 21:24:43 GMT-0500 (UTC−05:00)
b59906f6-7638-40f9-a543-8367dc35392f;f4352a8f-2b4e-4871-aa9f-af71aa699015;2b258e6c-27d0-4a1f-a08a-46279f5bd083;Alignement interne;hjkkhjk;02ce1bf8-ac3d-40c9-ad98-ddd682dddd53;Mon Dec 08 2025 21:24:45 GMT-0500 (UTC−05:00);[object Object];true;Mon Dec 08 2025 21:24:45 GMT-0500 (UTC−05:00)
fa6c1969-daaa-4e21-a7d0-0a2eb267ea06;f4352a8f-2b4e-4871-aa9f-af71aa699015;2b258e6c-27d0-4a1f-a08a-46279f5bd083;Validation client;hjkhjkhj;02ce1bf8-ac3d-40c9-ad98-ddd682dddd53;Mon Dec 08 2025 21:24:47 GMT-0500 (UTC−05:00);[object Object];true;Mon Dec 08 2025 21:24:47 GMT-0500 (UTC−05:00)
